# NIFTY500 constituents — vendored from NSE.
# Source: https://nsearchives.nseindia.com/content/indices/ind_nifty500list.csv
# Captured: 2026-08-19. NSE rebalances the index periodically (~semi-annual,
# with interim changes on corporate events) — re-fetch this file after a
# rebalance. Loader: reports/universes.py::load_nifty500().
symbol,company,industry,isin
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services,INE918I01026
BAJAJHFL,Bajaj Housing Finance Ltd.,Financial Services,INE377Y01014
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,Financial Services,INE118A01012
BAJFINANCE,Bajaj Finance Ltd.,Financial Services,INE296A01032
BALKRISIND,Balkrishna Industries Ltd.,Automobile and Auto Components,INE787D01026
BALRAMCHIN,Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,INE119A01028
BANDHANBNK,Bandhan Bank Ltd.,Financial Services,INE545U01014
BANKBARODA,Bank of Baroda,Financial Services,INE028A01039
BANKINDIA,Bank of India,Financial Services,INE084A01016
BATAINDIA,Bata India Ltd.,Consumer Durables,INE176A01028
BAYERCROP,Bayer Cropscience Ltd.,Chemicals,INE462A01022
BBTC,Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,INE050A01025
BDL,Bharat Dynamics Ltd.,Capital Goods,INE171Z01026
BEL,Bharat Electronics Ltd.,Capital Goods,INE263A01024
BELRISE,Belrise Industries Ltd.,Automobile and Auto Components,INE894V01022
BEML,BEML Ltd.,Capital Goods,INE258A01024
BERGEPAINT,Berger Paints India Ltd.,Consumer Durables,INE463A01038
BHARATFORG,Bharat Forge Ltd.,Automobile and Auto Components,INE465A01025
BHARTIARTL,Bharti Airtel Ltd.,Telecommunication,INE397D01024
BHARTIHEXA,Bharti Hexacom Ltd.,Telecommunication,INE343G01021
BHEL,Bharat Heavy Electricals Ltd.,Capital Goods,INE257A01026
BIKAJI,Bikaji Foods International Ltd.,Fast Moving Consumer Goods,INE00E101023
BIOCON,Biocon Ltd.,Healthcare,INE376G01013
BLS,BLS International Services Ltd.,Consumer Services,INE153T01027
BLUEDART,Blue Dart Express Ltd.,Services,INE233B01017
BLUEJET,Blue Jet Healthcare Ltd.,Healthcare,INE0KBH01020
BLUESTARCO,Blue Star Ltd.,Consumer Durables,INE472A01039
BOSCHLTD,Bosch Ltd.,Automobile and Auto Components,INE323A01026
BPCL,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,INE029A01011
BRIGADE,Brigade Enterprises Ltd.,Realty,INE791I01019
BRITANNIA,Britannia Industries Ltd.,Fast Moving Consumer Goods,INE216A01030
BSE,BSE Ltd.,Financial Services,INE118H01025
BSOFT,Birlasoft Ltd.,Information Technology,INE836A01035
CAMS,Computer Age Management Services Ltd.,Financial Services,INE596I01020
CANBK,Canara Bank,Financial Services,INE476A01022
CANFINHOME,Can Fin Homes Ltd.,Financial Services,INE477A01020
CANHLIFE,Canara HSBC Life Insurance Company Ltd.,Financial Services,INE01TY01017
CAPLIPOINT,Caplin Point Laboratories Ltd.,Healthcare,INE475E01026
CARBORUNIV,Carborundum Universal Ltd.,Capital Goods,INE120A01034
CARTRADE,Cartrade Tech Ltd.,Consumer Services,INE290S01011
CASTROLIND,Castrol India Ltd.,Oil Gas & Consumable Fuels,INE172A01027
CCL,CCL Products (I) Ltd.,Fast Moving Consumer Goods,INE421D01022
CDSL,Central Depository Services (India) Ltd.,Financial Services,INE736A01011
CEATLTD,Ceat Ltd.,Automobile and Auto Components,INE482A01020
CEMPRO,Cemindia Projects Ltd.,Construction,INE686A01026
CENTRALBK,Central Bank of India,Financial Services,INE483A01010
CESC,CESC Ltd.,Power,INE486A01021
CGCL,Capri Global Capital Ltd.,Financial Services,INE180C01042
CGPOWER,CG Power and Industrial Solutions Ltd.,Capital Goods,INE067A01029
CHALET,Chalet Hotels Ltd.,Consumer Services,INE427F01016
CHAMBLFERT,Chambal Fertilizers & Chemicals Ltd.,Chemicals,INE085A01013
CHENNPETRO,Chennai Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,INE178A01016
CHOICEIN,Choice International Ltd.,Financial Services,INE102B01014
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,Financial Services,INE121A01024
CHOLAHLDNG,Cholamandalam Financial Holdings Ltd.,Financial Services,INE149A01033
CIEINDIA,CIE Automotive India Ltd.,Automobile and Auto Components,INE536H01010
CIPLA,Cipla Ltd.,Healthcare,INE059A01026
CLEAN,Clean Science and Technology Ltd.,Chemicals,INE227W01023
COALINDIA,Coal India Ltd.,Oil Gas & Consumable Fuels,INE522F01014
COCHINSHIP,Cochin Shipyard Ltd.,Capital Goods,INE704P01025
COFORGE,Coforge Ltd.,Information Technology,INE591G01025
COHANCE,Cohance Lifesciences Ltd.,Healthcare,INE03QK01018
COLPAL,Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,INE259A01022
CONCOR,Container Corporation of India Ltd.,Services,INE111A01025
CONCORDBIO,Concord Biotech Ltd.,Healthcare,INE338H01029
COROMANDEL,Coromandel International Ltd.,Chemicals,INE169A01031
CPPLUS,Aditya Infotech Ltd.,Capital Goods,INE819V01029
CRAFTSMAN,Craftsman Automation Ltd.,Automobile and Auto Components,INE00LO01017
CREDITACC,CreditAccess Grameen Ltd.,Financial Services,INE741K01010
CRISIL,CRISIL Ltd.,Financial Services,INE007A01025
CROMPTON,Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,INE299U01018
CUB,City Union Bank Ltd.,Financial Services,INE491A01021
CUMMINSIND,Cummins India Ltd.,Capital Goods,INE298A01020
CYIENT,Cyient Ltd.,Information Technology,INE136B01020
DABUR,Dabur India Ltd.,Fast Moving Consumer Goods,INE016A01026
DALBHARAT,Dalmia Bharat Ltd.,Construction Materials,INE00R701025
DATAPATTNS,Data Patterns (India) Ltd.,Capital Goods,INE0IX101010
DCMSHRIRAM,DCM Shriram Ltd.,Diversified,INE499A01024
DEEPAKFERT,Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals,INE501A01019
DEEPAKNTR,Deepak Nitrite Ltd.,Chemicals,INE288B01029
DELHIVERY,Delhivery Ltd.,Services,INE148O01028
DEVYANI,Devyani International Ltd.,Consumer Services,INE872J01023
DIVISLAB,Divi's Laboratories Ltd.,Healthcare,INE361B01024
DIXON,Dixon Technologies (India) Ltd.,Consumer Durables,INE935N01020
DLF,DLF Ltd.,Realty,INE271C01023
DMART,Avenue Supermarts Ltd.,Consumer Services,INE192R01011
DOMS,DOMS Industries Ltd.,Fast Moving Consumer Goods,INE321T01012
DRREDDY,Dr. Reddy's Laboratories Ltd.,Healthcare,INE089A01031
ECLERX,eClerx Services Ltd.,Services,INE738I01010
EICHERMOT,Eicher Motors Ltd.,Automobile and Auto Components,INE066A01021
EIDPARRY,E.I.D. Parry (India) Ltd.,Fast Moving Consumer Goods,INE126A01031
EIHOTEL,EIH Ltd.,Consumer Services,INE230A01023
ELECON,Elecon Engineering Co. Ltd.,Capital Goods,INE205B01031
ELGIEQUIP,Elgi Equipments Ltd.,Capital Goods,INE285A01027
EMAMILTD,Emami Ltd.,Fast Moving Consumer Goods,INE548C01032
EMCURE,Emcure Pharmaceuticals Ltd.,Healthcare,INE168P01015
EMMVEE,Emmvee Photovoltaic Power Ltd.,Capital Goods,INE1C6T01020
ENDURANCE,Endurance Technologies Ltd.,Automobile and Auto Components,INE913H01037
ENGINERSIN,Engineers India Ltd.,Construction,INE510A01028
ENRIN,Siemens Energy India Ltd.,Capital Goods,INE1NPP01017
ERIS,Eris Lifesciences Ltd.,Healthcare,INE406M01024
ESCORTS,Escorts Kubota Ltd.,Capital Goods,INE042A01014
ETERNAL,Eternal Ltd.,Consumer Services,INE758T01015
EXIDEIND,Exide Industries Ltd.,Automobile and Auto Components,INE302A01020
FACT,Fertilisers and Chemicals Travancore Ltd.,Chemicals,INE188A01015
FEDERALBNK,Federal Bank Ltd.,Financial Services,INE171A01029
FINCABLES,Finolex Cables Ltd.,Capital Goods,INE235A01022
FIRSTCRY,Brainbees Solutions Ltd.,Consumer Services,INE02RE01045
FIVESTAR,Five-Star Business Finance Ltd.,Financial Services,INE128S01021
FLUOROCHEM,Gujarat Fluorochemicals Ltd.,Chemicals,INE09N301011
FORCEMOT,Force Motors Ltd.,Automobile and Auto Components,INE451A01017
FORTIS,Fortis Healthcare Ltd.,Healthcare,INE061F01013
FSL,Firstsource Solutions Ltd.,Services,INE684F01012
GABRIEL,Gabriel India Ltd.,Automobile and Auto Components,INE524A01029
GAIL,GAIL (India) Ltd.,Oil Gas & Consumable Fuels,INE129A01019
GALLANTT,Gallantt Ispat Ltd.,Capital Goods,INE297H01019
GESHIP,Great Eastern Shipping Co. Ltd.,Services,INE017A01032
GICRE,General Insurance Corporation of India,Financial Services,INE481Y01014
GILLETTE,Gillette India Ltd.,Fast Moving Consumer Goods,INE322A01010
GLAND,Gland Pharma Ltd.,Healthcare,INE068V01023
GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,INE159A01016
GLENMARK,Glenmark Pharmaceuticals Ltd.,Healthcare,INE935A01035
GMDCLTD,Gujarat Mineral Development Corporation Ltd.,Metals & Mining,INE131A01031
GMRAIRPORT,GMR Airports Ltd.,Services,INE776C01039
GODFRYPHLP,Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,INE260B01028
GODIGIT,Go Digit General Insurance Ltd.,Financial Services,INE03JT01014
GODREJCP,Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,INE102D01028
GODREJIND,Godrej Industries Ltd.,Diversified,INE233A01035
GODREJPROP,Godrej Properties Ltd.,Realty,INE484J01027
GPIL,Godawari Power & Ispat Ltd.,Capital Goods,INE177H01039
GRANULES,Granules India Ltd.,Healthcare,INE101D01020
GRAPHITE,Graphite India Ltd.,Capital Goods,INE371A01025
GRASIM,Grasim Industries Ltd.,Construction Materials,INE047A01021
GRAVITA,Gravita India Ltd.,Metals & Mining,INE024L01027
GROWW,Billionbrains Garage Ventures Ltd.,Financial Services,INE0HOQ01053
GRSE,Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods,INE382Z01011
GVT&D,GE Vernova T&D India Ltd.,Capital Goods,INE200A01026
HAL,Hindustan Aeronautics Ltd.,Capital Goods,INE066F01020
HAVELLS,Havells India Ltd.,Consumer Durables,INE176B01034
HBLENGINE,HBL Engineering Ltd.,Capital Goods,INE292B01021
HCLTECH,HCL Technologies Ltd.,Information Technology,INE860A01027
HDBFS,HDB Financial Services Ltd.,Financial Services,INE756I01012
HDFCAMC,HDFC Asset Management Company Ltd.,Financial Services,INE127D01025
HDFCBANK,HDFC Bank Ltd.,Financial Services,INE040A01034
HDFCLIFE,HDFC Life Insurance Company Ltd.,Financial Services,INE795G01014
HEG,H.E.G. Ltd.,Capital Goods,INE545A01024
HEROMOTOCO,Hero MotoCorp Ltd.,Automobile and Auto Components,INE158A01026
HEXT,Hexaware Technologies Ltd.,Information Technology,INE093A01041
HFCL,HFCL Ltd.,Telecommunication,INE548A01028
HINDALCO,Hindalco Industries Ltd.,Metals & Mining,INE038A01020
HINDCOPPER,Hindustan Copper Ltd.,Metals & Mining,INE531E01026
HINDPETRO,Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,INE094A01015
HINDUNILVR,Hindustan Unilever Ltd.,Fast Moving Consumer Goods,INE030A01027
HINDZINC,Hindustan Zinc Ltd.,Metals & Mining,INE267A01025
HOMEFIRST,Home First Finance Company India Ltd.,Financial Services,INE481N01025
HONASA,Honasa Consumer Ltd.,Fast Moving Consumer Goods,INE0J5401028
HONAUT,Honeywell Automation India Ltd.,Capital Goods,INE671A01010
HSCL,Himadri Speciality Chemical Ltd.,Chemicals,INE019C01026
HUDCO,Housing & Urban Development Corporation Ltd.,Financial Services,INE031A01017
HYUNDAI,Hyundai Motor India Ltd.,Automobile and Auto Components,INE0V6F01027
ICICIAMC,ICICI Prudential Asset Management Company Ltd.,Financial Services,INE346A01027
ICICIBANK,ICICI Bank Ltd.,Financial Services,INE090A01021
ICICIGI,ICICI Lombard General Insurance Company Ltd.,Financial Services,INE765G01017
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,Financial Services,INE726G01019
IDBI,IDBI Bank Ltd.,Financial Services,INE008A01015
IDEA,Vodafone Idea Ltd.,Telecommunication,INE669E01016
IDFCFIRSTB,IDFC First Bank Ltd.,Financial Services,INE092T01019
IEX,Indian Energy Exchange Ltd.,Financial Services,INE022Q01020
IFCI,IFCI Ltd.,Financial Services,INE039A01010
IGIL,International Gemological Institute Ltd.,Services,INE0Q9301021
IGL,Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,INE203G01027
IIFL,IIFL Finance Ltd.,Financial Services,INE530B01024
IKS,Inventurus Knowledge Solutions Ltd.,Information Technology,INE115Q01022
INDGN,Indegene Ltd.,Healthcare,INE065X01017
INDHOTEL,Indian Hotels Co. Ltd.,Consumer Services,INE053A01029
INDIACEM,India Cements Ltd.,Construction Materials,INE383A01012
INDIAMART,Indiamart Intermesh Ltd.,Consumer Services,INE933S01016
INDIANB,Indian Bank,Financial Services,INE562A01011
INDIGO,InterGlobe Aviation Ltd.,Services,INE646L01027
INDUSINDBK,IndusInd Bank Ltd.,Financial Services,INE095A01012
INDUSTOWER,Indus Towers Ltd.,Telecommunication,INE121J01017
INFY,Infosys Ltd.,Information Technology,INE009A01021
INOXWIND,Inox Wind Ltd.,Capital Goods,INE066P01011
INTELLECT,Intellect Design Arena Ltd.,Information Technology,INE306R01017
IOB,Indian Overseas Bank,Financial Services,INE565A01014
IOC,Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,INE242A01010
IPCALAB,Ipca Laboratories Ltd.,Healthcare,INE571A01038
IRB,IRB Infrastructure Developers Ltd.,Construction,INE821I01022
IRCON,IRCON International Ltd.,Construction,INE962Y01021
IRCTC,Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,INE335Y01020
IREDA,Indian Renewable Energy Development Agency Ltd.,Financial Services,INE202E01016
IRFC,Indian Railway Finance Corporation Ltd.,Financial Services,INE053F01010
ITC,ITC Ltd.,Fast Moving Consumer Goods,INE154A01025
ITCHOTELS,ITC Hotels Ltd.,Consumer Services,INE379A01028
ITI,ITI Ltd.,Telecommunication,INE248A01017
J&KBANK,Jammu & Kashmir Bank Ltd.,Financial Services,INE168A01041
JAINREC,Jain Resource Recycling Ltd.,Metals & Mining,INE0YD401026
JBMA,JBM Auto Ltd.,Automobile and Auto Components,INE927D01051
JINDALSAW,Jindal Saw Ltd.,Capital Goods,INE324A01032
JINDALSTEL,Jindal Steel Ltd.,Metals & Mining,INE749A01030
JIOFIN,Jio Financial Services Ltd.,Financial Services,INE758E01017
JKCEMENT,J.K. Cement Ltd.,Construction Materials,INE823G01014
JKTYRE,JK Tyre & Industries Ltd.,Automobile and Auto Components,INE573A01042
JMFINANCIL,JM Financial Ltd.,Financial Services,INE780C01023
JPPOWER,Jaiprakash Power Ventures Ltd.,Power,INE351F01018
JSL,Jindal Stainless Ltd.,Metals & Mining,INE220G01021
JSWCEMENT,JSW Cement Ltd.,Construction Materials,INE718I01012
JSWDULUX,JSW Dulux Ltd.,Consumer Durables,INE133A01011
JSWENERGY,JSW Energy Ltd.,Power,INE121E01018
JSWINFRA,JSW Infrastructure Ltd.,Services,INE880J01026
JSWSTEEL,JSW Steel Ltd.,Metals & Mining,INE019A01038
JUBLFOOD,Jubilant Foodworks Ltd.,Consumer Services,INE797F01020
JUBLINGREA,Jubilant Ingrevia Ltd.,Chemicals,INE0BY001018
JUBLPHARMA,Jubilant Pharmova Ltd.,Healthcare,INE700A01033
JWL,Jupiter Wagons Ltd.,Capital Goods,INE209L01016
JYOTICNC,Jyoti CNC Automation Ltd.,Capital Goods,INE980O01024
KAJARIACER,Kajaria Ceramics Ltd.,Consumer Durables,INE217B01036
KALYANKJIL,Kalyan Jewellers India Ltd.,Consumer Durables,INE303R01014
KARURVYSYA,Karur Vysya Bank Ltd.,Financial Services,INE036D01028
KAYNES,Kaynes Technology India Ltd.,Capital Goods,INE918Z01012
KEC,Kec International Ltd.,Construction,INE389H01022
KEI,KEI Industries Ltd.,Capital Goods,INE878B01027
KFINTECH,Kfin Technologies Ltd.,Financial Services,INE138Y01010
KIMS,Krishna Institute of Medical Sciences Ltd.,Healthcare,INE967H01025
KIRLOSENG,Kirloskar Oil Eng Ltd.,Capital Goods,INE146L01010
KOTAKBANK,Kotak Mahindra Bank Ltd.,Financial Services,INE237A01036
KPIL,Kalpataru Projects International Ltd.,Construction,INE220B01022
KPITTECH,KPIT Technologies Ltd.,Information Technology,INE04I401011
KPRMILL,K.P.R. Mill Ltd.,Textiles,INE930H01031
LALPATHLAB,Dr. Lal Path Labs Ltd.,Healthcare,INE600L01024
LATENTVIEW,Latent View Analytics Ltd.,Information Technology,INE0I7C01011
LAURUSLABS,Laurus Labs Ltd.,Healthcare,INE947Q01028
LEMONTREE,Lemon Tree Hotels Ltd.,Consumer Services,INE970X01018
LENSKART,Lenskart Solutions Ltd.,Consumer Services,INE956O01016
LGEINDIA,LG Electronics India Ltd.,Consumer Durables,INE324D01010
LICHSGFIN,LIC Housing Finance Ltd.,Financial Services,INE115A01026
LICI,Life Insurance Corporation of India,Financial Services,INE0J1Y01017
LINDEINDIA,Linde India Ltd.,Chemicals,INE473A01011
LLOYDSME,Lloyds Metals And Energy Ltd.,Metals & Mining,INE281B01032
LODHA,Lodha Developers Ltd.,Realty,INE670K01029
LT,Larsen & Toubro Ltd.,Construction,INE018A01030
LTF,L&T Finance Ltd.,Financial Services,INE498L01015
LTFOODS,LT Foods Ltd.,Fast Moving Consumer Goods,INE818H01020
LTM,LTM Ltd.,Information Technology,INE214T01019
LTTS,L&T Technology Services Ltd.,Information Technology,INE010V01017
LUPIN,Lupin Ltd.,Healthcare,INE326A01037
M&M,Mahindra & Mahindra Ltd.,Automobile and Auto Components,INE101A01026
M&MFIN,Mahindra & Mahindra Financial Services Ltd.,Financial Services,INE774D01024
MAHABANK,Bank of Maharashtra,Financial Services,INE457A01014
MANAPPURAM,Manappuram Finance Ltd.,Financial Services,INE522D01027
MANKIND,Mankind Pharma Ltd.,Healthcare,INE634S01028
MAPMYINDIA,C.E. Info Systems Ltd.,Information Technology,INE0BV301023
MARICO,Marico Ltd.,Fast Moving Consumer Goods,INE196A01026
MARUTI,Maruti Suzuki India Ltd.,Automobile and Auto Components,INE585B01010
MAXHEALTH,Max Healthcare Institute Ltd.,Healthcare,INE027H01010
MAZDOCK,Mazagoan Dock Shipbuilders Ltd.,Capital Goods,INE249Z01020
MCX,Multi Commodity Exchange of India Ltd.,Financial Services,INE745G01043
MEDANTA,Global Health Ltd.,Healthcare,INE474Q01031
MEESHO,Meesho Ltd.,Consumer Services,INE0VDM01015
MFSL,Max Financial Services Ltd.,Financial Services,INE180A01020
MGL,Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,INE002S01010
MINDACORP,Minda Corporation Ltd.,Automobile and Auto Components,INE842C01021
MMTC,MMTC Ltd.,Services,INE123F01029
MOTHERSON,Samvardhana Motherson International Ltd.,Automobile and Auto Components,INE775A01035
MOTILALOFS,Motilal Oswal Financial Services Ltd.,Financial Services,INE338I01027
MPHASIS,MphasiS Ltd.,Information Technology,INE356A01018
MRF,MRF Ltd.,Automobile and Auto Components,INE883A01011
MRPL,Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels,INE103A01014
MSUMI,Motherson Sumi Wiring India Ltd.,Automobile and Auto Components,INE0FS801015
MUTHOOTFIN,Muthoot Finance Ltd.,Financial Services,INE414G01012
NAM-INDIA,Nippon Life India Asset Management Ltd.,Financial Services,INE298J01013
NATCOPHARM,NATCO Pharma Ltd.,Healthcare,INE987B01026
NATIONALUM,National Aluminium Co. Ltd.,Metals & Mining,INE139A01034
NAUKRI,Info Edge (India) Ltd.,Consumer Services,INE663F01032
NAVA,Nava Ltd.,Power,INE725A01030
NAVINFLUOR,Navin Fluorine International Ltd.,Chemicals,INE048G01026
NBCC,NBCC (India) Ltd.,Construction,INE095N01031
NCC,NCC Ltd.,Construction,INE868B01028
NESTLEIND,Nestle India Ltd.,Fast Moving Consumer Goods,INE239A01024
NETWEB,Netweb Technologies India Ltd.,Information Technology,INE0NT901020
NEULANDLAB,Neuland Laboratories Ltd.,Healthcare,INE794A01010
NEWGEN,Newgen Software Technologies Ltd.,Information Technology,INE619B01017
NH,Narayana Hrudayalaya Ltd.,Healthcare,INE410P01011
NHPC,NHPC Ltd.,Power,INE848E01016
NIACL,The New India Assurance Company Ltd.,Financial Services,INE470Y01017
NIVABUPA,Niva Bupa Health Insurance Company Ltd.,Financial Services,INE995S01015
NLCINDIA,NLC India Ltd.,Power,INE589A01014
NMDC,NMDC Ltd.,Metals & Mining,INE584A01023
NSLNISP,NMDC Steel Ltd.,Metals & Mining,INE0NNS01018
NTPC,NTPC Ltd.,Power,INE733E01010
NTPCGREEN,NTPC Green Energy Ltd.,Power,INE0ONG01011
NUVAMA,Nuvama Wealth Management Ltd.,Financial Services,INE531F01023
NUVOCO,Nuvoco Vistas Corporation Ltd.,Construction Materials,INE118D01016
NYKAA,FSN E-Commerce Ventures Ltd.,Consumer Services,INE388Y01029
OBEROIRLTY,Oberoi Realty Ltd.,Realty,INE093I01010
OFSS,Oracle Financial Services Software Ltd.,Information Technology,INE881D01027
OIL,Oil India Ltd.,Oil Gas & Consumable Fuels,INE274J01014
OLAELEC,Ola Electric Mobility Ltd.,Automobile and Auto Components,INE0LXG01040
OLECTRA,Olectra Greentech Ltd.,Automobile and Auto Components,INE260D01016
ONESOURCE,Onesource Specialty Pharma Ltd.,Healthcare,INE013P01021
ONGC,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,INE213A01029
PAGEIND,Page Industries Ltd.,Textiles,INE761H01022
PARADEEP,Paradeep Phosphates Ltd.,Chemicals,INE088F01024
PATANJALI,Patanjali Foods Ltd.,Fast Moving Consumer Goods,INE619A01035
PAYTM,One 97 Communications Ltd.,Financial Services,INE982J01020
PCBL,PCBL Chemical Ltd.,Chemicals,INE602A01031
PERSISTENT,Persistent Systems Ltd.,Information Technology,INE262H01021
PETRONET,Petronet LNG Ltd.,Oil Gas & Consumable Fuels,INE347G01014
PFC,Power Finance Corporation Ltd.,Financial Services,INE134E01011
PFIZER,Pfizer Ltd.,Healthcare,INE182A01018
PFOCUS,Prime Focus Ltd.,Media Entertainment & Publication,INE367G01038
PGEL,PG Electroplast Ltd.,Consumer Durables,INE457L01029
PHOENIXLTD,Phoenix Mills Ltd.,Realty,INE211B01039
PIDILITIND,Pidilite Industries Ltd.,Chemicals,INE318A01026
PIIND,PI Industries Ltd.,Chemicals,INE603J01030
PINELABS,Pine Labs Ltd.,Financial Services,INE15B701018
PIRAMALFIN,Piramal Finance Ltd.,Financial Services,INE202B01038
PNB,Punjab National Bank,Financial Services,INE160A01022
PNBHOUSING,PNB Housing Finance Ltd.,Financial Services,INE572E01012
POLICYBZR,PB Fintech Ltd.,Financial Services,INE417T01026
POLYCAB,Polycab India Ltd.,Capital Goods,INE455K01017
POLYMED,Poly Medicure Ltd.,Healthcare,INE205C01021
POONAWALLA,Poonawalla Fincorp Ltd.,Financial Services,INE511C01022
POWERGRID,Power Grid Corporation of India Ltd.,Power,INE752E01010
POWERINDIA,Hitachi Energy India Ltd.,Capital Goods,INE07Y701011
